Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Album Cover URL
Coco Chanel,3MEN2 KBRN,Eladio Carrion,3/17/2023,QM4TX2344391,988,48.4,459282058,67717,32043186,72,100210832,673502,49000,17997404,147682062,1805292,46,24347,102,13,242670,17,9497644,3142,,742228,,1,https://i.scdn.co/image/ab67616d0000b273fc8563c0dc75d79e73c2dca0
Jiwa Yang Bersedih,Jiwa Yang Bersedih - Single,Ghea Indrawari,5/18/2023,FRX452328816,987,48.4,229120157,11931,7972917,69,136914720,1023397,1589944,378055132,5604886674,45212529,6,3334,,,,,,,,154129,,0,https://i.scdn.co/image/ab67616d0000b273d5e19a9b55c764573748989d
Until I Found You (with Em Beihold) - Em Beihold Version,Until I Found You (Em Beihold Version),Stephen Sanchez,4/22/2022,USUG12202266,986,48.6,1020452066,108274,75934462,79,114404861,1372385,228100,129184868,1013000586,995903,45,74239,,27,250765,5,1435373,6073,3198903,,,0,https://i.scdn.co/image/ab67616d0000b2732bf0876d42b90a8852ad6244
Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,03-05-2021,USUG12101042,985,48.6,793287638,225513,37094631,71,104966782,872923,36542,45722496,319496635,783169,130,18714,82,21,693216,18,57284328,23173,,2221501,,1,https://i.scdn.co/image/ab67616d0000b2738b20e4631fa15d3953528bbc
Great Gatsby,Nostalgia,Rod Wave,9/15/2023,USQX92305201,982,48.7,66813186,11024,4487030,,75881981,409473,4842,4543062,34091093,359281223,11,1245,29,3,21417,16,18521097,26354,13491731,395093,,1,https://i.scdn.co/image/ab67616d0000b273bbf846cc2675b6baabc42000
Virginia Beach,For All The Dogs,Drake,10-06-2023,USUG12306066,981,48.8,165204421,38562,6636362,,16599214,126612,,,,35874,5,1751,,2,1924,8,5063703,5731,6243171,349915,,1,https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1
Photograph,x (Wembley Edition),Ed Sheeran,01-01-2013,GBAHS1400094,980,48.8,2525355904,208671,121163411,77,1884843329,9916244,1459274,502385405,4406781129,1706776803,249,89818,80,234,603824,54,450907868,190210,35594470,17163765,,0,https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd
HEAT STICK,HEAT STICK,Shoreline Mafia,05-10-2024,USAT22402903,979,48.8,20538101,3675,33607850,74,3575151,101311,,20600,108700,381728,23,370,5,5,38916,7,1637484,359,1415426,75399,,1,https://i.scdn.co/image/ab67616d0000b2731137bd147ec1b23de64e39f8
LA PEOPLE II,LA PEOPLE II,Peso Pluma,3/21/2024,QM4TX2458976,978,48.9,123243341,5069,34480158,79,53762979,472820,,171600,3100000,,13,8,,4,1081795,14,2185039,1024,,121403,,1,https://i.scdn.co/image/ab67616d0000b2732690127e1d6cd0aa35cc353b
One Side,One Side,Iyanya,9/15/2022,ZA41S2225757,977,48.9,23823099,10859,859682,53,75987807,365743,4024066,59428340,1004679876,42569293,3,2518,,,,,,,,,,0,https://i.scdn.co/image/ab67616d0000b27314155732464a3da9471dfd4b
Your Love (9PM),Your Love (9PM),ATB,1/15/2021,DECE72003523,976,48.9,721002104,146298,62920572,71,118729044,952700,25400,5772644,81735548,153714110,201,361427,220,115,2519598,27,24235804,2394,5026745,7799522,,0,https://i.scdn.co/image/ab67616d0000b273f1462ebfec5f96421f44dcd3
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401029,975,48.9,150693008,3273,15710281,,15389385,261652,,4822,39100,,29,450,,4,53098,52,3131451,12957,,49802,,1,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Back To Black: Songs From The Original Motion Picture,Amy Winehouse,04-12-2024,GBCAD2000628,974,48.9,562814594,17,25810,,,,,,,,,,,1,530,,,,,,,0,https://i.scdn.co/image/ab67616d0000b27376ffb5b5ab045d22c81235c1
